"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
42,672275,"Bailey, Patrick",1724,2.4,0.3,0,0.429,0.3,0.265,0.196,0.208,3,10,83.7,12.7,2265,90.5,91.03,7,16,26,0.5,6.59,108,142,113,149,292,324,300,"0.798","-0.798","68.4","7.2",10,7,3,0,0,0,3,30,0,0,2.35286,0.45833,0.26833,-0.26833,"90.8",141,28.57142857142857,0,0,5.93,-1.68,-0.2,2.48,0.3,0,"-1.9",0.208,0.239,"1.9",0.092,0.092,0.061,0.069,43.8,"44.6",8.71989625541262,-5.523171079712622,32.94110421188342,0.3333333333333333,39.1709588023034,30.570073065421756
42,701398,"Stewart, Sal",217,19.4,0.4,0.4,0.333,0.8,0.548,0.645,0.454,4,10,97.6,11.6,2383,88.9,89.52,1,20,22,0.5999999999999943,6.7,105,152,122,147,310,320,297,"-2.713","2.713","72.4","7.7",13,10,2,1,0,1,0,0,3,23.1,2.64238,0.28667,0.02524,-0.13,"93.6",177,60,20,15.384615384615385,5.92,-1.51,0.07,2.35,0.538,2,"6.45952381",0.58,1.053,"-6.45952381",-0.054,-0.041999999999999926,-0.253,-0.097,5,"45.6",8.673825466476393,4.5303204522763,28.84797099391368,0.6,38.9735633331447,26.974108275473412
41,665161,"Peña, Jeremy",1779,2.3,0.273,0.364,0.222,0.636,0.405,0.409,0.305,3,11,89.7,0.7,2321,89.3,89.72,2,19,22,0.4000000000000057,6.59,105,150,113,144,308,321,289,"-0.682","0.682","71.5","7.5",12,10,1,1,0,1,1,8.3,1,8.3,2.32585,0.5622,0.24341,-0.10927,"92.2",105,40,20,16.666666666666664,5.79,-0.93,0.29,2.04,0.333,2,"1.663414634",0.363,0.604,"-1.663414634",-0.032,-0.02999999999999997,0.032,-0.004,10.5,"44.2",8.350569906891986,-4.367141523308166,30.315210077836017,0.7894736842105263,38.641010890599375,29.677134999456502
41,687231,"Hernaiz, Darell",712,5.8,0.25,0.125,0.25,0.375,0.383,0.323,0.197,2,8,80.7,-4.1,2401,87.9,88.04,2,13,28,0.09999999999999432,6.36,105,149,109,145,305,320,288,"-0.304","0.304","66.9","7.1",11,8,1,1,0,0,0,0,3,27.3,2.78976,0.20854,-0.04951,-0.08171,"91.6",113,25,0,0,6.03,-0.61,0.28,2.28,0.455,0,"0.741463415",0.416,0.221,"-0.741463415",0.053,0.039000000000000035,0.154,0.06,15.4,"46.1",4.636912942140655,2.872543895735723,33.15317872204145,0.46153846153846156,36.99298115631025,28.122518527097046
41,682663,"Ramírez, Agustín",2122,1.9,0.154,0.077,0.167,0.231,0.164,0.337,0.3,2,13,87.8,3.1,2355,88.8,89.1,4,20,21,0.29999999999999716,6.39,113,152,123,148,317,324,301,"1.825","-1.825","72.2","7.1",13,12,1,1,0,0,1,7.7,0,0,2.65049,0.282,0.1522,0.09951,"94.9",174,58.333333333333336,8.333333333333332,7.6923076923076925,5.85,-1,0.28,2.01,0.154,1,"-4.451219512",0.3,0.496,"4.451219512",-0.146,-0.146,-0.265,-0.173,20,"41.4",3.4845144891725153,3.6621039263568083,24.610450621572287,0.4,38.795426074211015,27.908414053040424
41,691720,"Karros, Kyle",635,6.5,0.3,0.1,0.375,0.4,0.337,0.276,0.233,3,10,95.7,25.6,2184,88.7,88.87,3,20,21,0.20000000000000284,6.26,109,152,116,148,316,323,299,"-0.243","0.243","68.2","7.0",11,8,2,1,0,0,2,18.2,1,9.1,2.51366,0.40098,0.23878,-0.2378,"93.1",135,62.5,0,0,5.93,-0.83,0.26,2.32,0.364,0,"0.592682927",0.303,0.312,"-0.592682927",0.067,0.061,0.088,0.061,15,"37.1",6.304682239081142,-5.415127197572924,36.33480685965319,0.45,36.75075307504069,26.79604707286266
41,605141,"Betts, Mookie",2460,1.7,0.5,0.286,0.5,0.786,0.55,0.457,0.446,7,14,86.1,21.1,2287,90.8,91.23,1,23,18,0.4000000000000057,6.53,108,151,122,146,305,327,299,"-3.453","3.453","65.6","6.9",14,13,5,1,0,1,1,7.1,0,0,2.15317,0.63463,0.48976,0.08439,"91.5",187,30.76923076923077,7.6923076923076925,7.142857142857142,5.73,-0.78,0.36,2.28,0.5,1,"8.42195122",0.446,0.609,"-8.42195122",0.054,0.05399999999999999,0.177,0.093,4.3,"40.7",8.766121582307258,-4.564649776285506,35.557247573711194,0.5714285714285714,39.41188945732149,32.026099233728786
40,660162,"Moncada, Yoán",1128,3.5,0.182,0.091,0.25,0.273,0.271,0.239,0.158,2,11,87.5,15.3,2309,89.6,90,6,18,22,0.4000000000000057,6.6,113,146,107,151,295,324,300,"0.348","-0.348","68.9","7.2",13,8,1,1,0,0,3,23.1,2,15.4,2.3735,0.498,0.151,-0.151,"89.8",112,0,0,0,5.87,-1.19,-0.01,2.06,0.308,0,"-0.87",0.288,0.198,"0.87",0.024,0.020000000000000018,0.075,0.032,33.3,"46.7",7.570510094234171,0.4132631127026698,40.74392364001562,0.4117647058823529,34.644678889232495,29.761819985282468
40,553993,"Suárez, Eugenio",2606,1.5,0.385,0.077,0.5,0.462,0.368,0.351,0.356,5,13,88.6,23.7,2405,88.4,88.56,5,21,19,0.19999999999998863,6.5,107,152,126,146,306,327,298,"-0.446","0.446","70.0","7.8",13,10,4,1,0,0,3,23.1,0,0,2.656,0.32103,-0.16179,-0.09513,"91.7",195,40,0,0,6.07,-0.83,0.37,2.11,0.385,0,"1.115",0.356,0.459,"-1.115",0.029,0.029000000000000026,0.003,0.017,23.8,"47.5",15.812912945196288,-2.7909351041350714,39.998801869316125,0.6666666666666666,34.12414218287746,34.92623482751096
40,669720,"Hays, Austin",1559,2.6,0.3,0,0.333,0.3,0.265,0.309,0.311,3,10,85.9,4.7,2444,89.8,90.04,4,22,18,0.20000000000000284,6.46,110,151,120,146,308,317,296,"0.605","-0.605","67.7","6.6",10,9,3,0,0,0,1,10,0,0,2.517,0.357,0.1125,0.142,"91.7",102,55.55555555555556,0,0,6.15,-0.97,0.03,1.94,0.3,0,"-1.5125",0.311,0.398,"1.5125",-0.011,-0.01100000000000001,-0.098,-0.044,18.2,"52.5",10.678063675378585,1.9010262544004897,31.75733868941286,0.5909090909090909,34.0669310273167,32.077642839979106
